0.00267032,0.991168,1.14216
0.00270268,0.990866,1.14207
0.00360851,0.983619,1.13973
0.00365223,0.983624,1.13963
0.00448206,0.983708,1.12949
0.00453637,0.983713,1.12847
0.00536953,0.983782,1.11422
0.00620444,0.981284,1.09775
0.00627962,0.981076,1.09638
0.00716918,0.978786,1.09878
0.00725605,0.979024,1.099
0.00818476,0.981398,1.0944
0.00828393,0.981403,1.09394
0.00912181,0.981443,1.08488
0.00923233,0.981227,1.08375
0.0183423,0.968943,1.05387
0.0185645,0.968948,1.05335
0.0279591,0.969116,1.03861
0.0282979,0.969015,1.03817
0.0373299,0.966678,1.01378
0.0377822,0.966144,1.01272
0.0469286,0.956542,1.00258
0.0569018,0.948948,0.976179
0.0575913,0.948166,0.974529
0.0665462,0.938782,0.969473
0.0768936,0.923497,0.954187
0.0856969,0.915869,0.942723
0.0867353,0.915362,0.941449
0.0966654,0.910803,0.932287
0.0978366,0.910279,0.931268
0.194376,0.8804,0.898876
0.196732,0.879553,0.898308
0.296287,0.850736,0.867786
0.299877,0.849888,0.867279
0.395591,0.839772,0.855629
0.400385,0.839265,0.855122
0.503336,0.829641,0.842428
0.59578,0.81948,0.83295
0.602999,0.819302,0.832273
0.705202,0.816992,0.824664
0.8051,0.809374,0.818227
0.824729,0.807593,0.817056
1.02438,0.79157,0.796685
